License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17195,Flower Branch Apartments,8628 Piney Branch Rd,Silver Spring,20901,149258,-76.99973782,38.99860344,8/29/2018,,3,1,362,308,1.35,1.3,104,0.07,0.08,compliant,"(38.9986, -76.9997)"
18123,"Greenwood Avenue, 8314",8314 Greenwood Ave,Takoma Park,20912,146192,-77.00149884,38.99379231,4/23/2018,,2,1,1,1,0,0,0,0,0,compliant,"(38.9938, -77.0015)"
17428,Stratford Terrace,9061 Manchester Rd,Silver Spring,20901,154238,0,0,4/26/2019,,2,1,19,22,1.22,1.27,2,0,0,compliant,"(0.0, 0.0)"
17302,Parklane Apartments,8200 Spiceberry Cir,Gaithersburg,20877,146563,-77.16342629,39.1517717,5/25/2018,,3,1,137,24,1.12,-0.41,32,0,0,compliant,"(39.1518, -77.1634)"
17268,Westchester West,3214 Hewitt Ave,Silver Spring,20906,154262,-77.06439261,39.07976029,5/20/2019,,2,1,345,85,1.45,1.47,22,0.09,0.01,compliant,"(39.0798, -77.0644)"
17596,"Nolte Avenue, 8216",8216 Nolte Ave,Silver Spring,20910,152899,-77.01352828,38.9934099,1/16/2019,,1,1,3,4,2.75,1.63,0,0,0,troubled,"(38.9934, -77.0135)"
17434,Eastern Avenue Apartments,7603 Eastern Ave,Takoma Park,20912,153884,-77.0229752,38.98249701,9/14/2017,,1,1,41,38,1.57,1.64,8,0.26,0,troubled,"(38.9825, -77.023)"
17308,Chateau Apartments,9727 Mt Pisgah Rd,Silver Spring,20903,149259,-76.97497936,39.01686173,9/19/2018,,3,1,399,86,0.54,0.89,48,0.02,0.02,compliant,"(39.0169, -76.975)"
95697,Sawyer Flats,9806 Mahogany Dr,Gaithersburg,20878,154240,-77.20140001,39.11507934,4/30/2019,,3,1,648,154,1.24,1.34,53,0,0,compliant,"(39.1151, -77.2014)"
17296,Cole Spring Plaza,1001 Spring St,Silver Spring,20910,150070,-77.0265768,38.99953332,10/5/2018,,3,1,268,62,0.51,1.08,29,0.01,0.01,compliant,"(38.9995, -77.0266)"
46012,The Gardens Of Traville Senior Apartment,14411 Traville Garden Cir,Rockville,20850,148552,-77.20377476,39.09333365,7/13/2018,,2,1,230,120,0.7,1.66,51,0.01,0.14,at-risk,"(39.0933, -77.2038)"
112363,The Lockwood,11431 Lockwood Dr,Silever Spring,20904,151789,0,0,11/13/2018,,1,1,111,106,2.71,1.73,24,0.24,0.15,troubled,"(0.0, 0.0)"
16472,"Garland Avenue, 7803",7803 Garland Ave,Takoma Park,20912,151787,-76.99724174,38.98771607,11/5/2018,,2,1,1,1,0,0,0,0,0,compliant,"(38.9877, -76.9972)"
17984,"Avondale Street, 4500-4502",4500 Avondale St,Bethesda,20814,148712,-77.09224308,38.98599658,7/13/2018,,2,1,7,10,1,2.16,2,0,0,at-risk,"(38.986, -77.0922)"
17241,Highland House,5480 Wisconsin Ave,Chevy Chase,20815,154260,-77.08751143,38.96321355,5/15/2019,,3,1,391,97,0.65,0.57,60,0,0,compliant,"(38.9632, -77.0875)"
17606,8401 Flower Avenue,8401 Flower Ave,Takoma Park,20912,153875,-77.00185772,38.99414101,3/19/2019,,2,1,6,6,0.5,1.66,0,0,0,at-risk,"(38.9941, -77.0019)"
17265,Friendly Gardens,2423 Lyttonsville Rd,Silver Spring,20910,146622,-77.05041394,39.00002645,5/22/2018,,3,1,85,22,1.36,0.99,8,0,0.04,compliant,"(39.0, -77.0504)"
106762,Cider Mill,18205 LOST KNIFE CIR,MONTGOMERY VILLAGE,20886,152904,-77.20323491,39.15717753,3/6/2019,,3,1,861,211,1.32,1.32,76,0.07,0,compliant,"(39.1572, -77.2032)"
50466,The Rothbury Apartments,20120 Rothbury Ln,Montgomery Village,20886,150518,-77.1909868,39.18617846,10/10/2018,,3,1,205,50,0.5,1.02,26,0,0.02,compliant,"(39.1862, -77.191)"
17536,Damascus Gardens,9829 Bethesda Church Rd,Damascus,20872,146194,-77.20435052,39.28327526,4/18/2018,,2,1,104,107,2.15,1.32,22,0.01,0,at-risk,"(39.2833, -77.2044)"
90163,The Park at Kingsview Village,13414 Daventry Way,Germantown,20874,154246,-77.27989618,39.15802448,11/28/2019,,2,1,325,100,1.16,1.75,12,0,0,at-risk,"(39.158, -77.2799)"
17164,Preston Place Townhouses,3710 Manor Rd,Chevy Chase,20815,146495,-77.07136103,38.99761454,5/8/2018,,3,1,67,15,0.93,1.16,4,0,0.06,compliant,"(38.9976, -77.0714)"
45287,Avalon At Grosvenor Station,10306 Strathmore Hall St,Rockville,20852,146198,-77.10166237,39.02582996,4/5/2018,,3,1,497,142,0.43,0.8,78,0,0,compliant,"(39.0258, -77.1017)"
17163,Chevy Chase Lake North,3710 Manor Rd,Chevy Chase,20815,147542,-77.07136103,38.99761454,7/3/2018,,3,1,67,18,0.94,1.22,7,0,0.05,compliant,"(38.9976, -77.0714)"
16471,Avondale Apartments,4507 Avondale St,Bethesda,20814,146618,-77.09236677,38.98643034,4/30/2018,,2,1,22,7,2,0.93,2,0,0,compliant,"(38.9864, -77.0924)"
17532,Tilbury Garden Apartments,7806 Tilbury St,Bethesda,20814,154225,-77.09405507,38.988815,4/29/2019,,1,0,30,10,2.1,2.1,1,0,0,troubled,"(38.9888, -77.0941)"
17297,Colesville Towers,8811 Colesville Rd,Silver Spring,20910,153890,-77.02509898,38.99965719,4/10/2019,,2,1,259,57,1.42,1.4,13,0.03,0,compliant,"(38.9997, -77.0251)"
45178,Avalon At Traville,14240 Alta Oaks Dr,Rockville,20850,146172,-77.20557287,39.09096448,6/7/2018,,3,1,520,125,0.46,0.74,81,0,0.03,compliant,"(39.091, -77.2056)"
17953,"Plymouth Street, 8716",8716 Plymouth St,Silver Spring,20901,146666,-77.0076744,39.00045863,4/9/2018,,2,1,6,6,1.33,1.57,0,0,0,at-risk,"(39.0005, -77.0077)"
17191,White Oak Gardens,11600 Lockwood Dr,Silver Spring,20904,154235,-76.98396977,39.04191768,5/23/2019,,2,1,352,93,1.63,1.39,22,0.08,0.02,compliant,"(39.0419, -76.984)"
17711,4701 Willard Apartments,4701 Willard Ave,Chevy Chase,20815,153872,-77.09444675,38.96315598,3/21/2019,,3,1,517,122,0.97,0.92,58,0,0,compliant,"(38.9632, -77.0944)"
17395,Glen Dorra,4998 Battery Ln,Bethesda,20814,146497,-77.10141553,38.99158475,5/7/2018,,2,1,95,23,1.04,1.47,6,0,0,compliant,"(38.9916, -77.1014)"
108368,Villaflores,8810 BRADFORD RD,SILVER SPRING,20901,154231,0,0,4/4/2019,,3,1,6,6,1.33,0.75,3,0,0,compliant,"(0.0, 0.0)"
17324,"Garland Avenue, 7900",7900 Garland Ave,Takoma Park,20912,151794,-76.99844493,38.98853978,11/5/2018,,2,1,3,1,0,0,0,0,0,compliant,"(38.9885, -76.9984)"
17709,Crystal Springs,14301 Georgia Ave,Silver Spring,20906,152903,-77.07807864,39.09121032,3/7/2019,,1,1,435,103,2.45,1.72,13,0.15,0,troubled,"(39.0912, -77.0781)"
17790,"Glenville Road, 8809",8809 Glenville Rd,Silver Spring,20901,154036,-76.99653048,38.99995089,4/17/2019,,1,1,4,5,6.8,2.08,0,0.4,0,troubled,"(39.0, -76.9965)"
17981,"Avondale Street, 4504-4506",4504 Avondale St,Bethesda,20814,148710,-77.0924154,38.98598,7/13/2018,,3,1,7,10,1.5,1.3,3,0,0,compliant,"(38.986, -77.0924)"
17325,Rollingwood,2535 Ross Rd,Silver Spring,20910,152887,-77.05470622,38.99601731,4/3/2019,,1,1,283,270,2.02,1.51,66,0.13,0.01,troubled,"(38.996, -77.0547)"
17641,The Villages At Decoverly,9901 Gable Ridge Ter,Rockville,20850,147536,-77.20521631,39.10839767,7/12/2018,,3,1,564,139,0.43,0.7,84,0,0.01,compliant,"(39.1084, -77.2052)"
17564,Bethesda Hill,5114 Dudley Ln,Bethesda,20814,146549,-77.10267596,39.01417527,4/10/2018,,3,1,194,52,1.3,1.41,10,0,0.05,compliant,"(39.0142, -77.1027)"
50688,"Garland Avenue, 8304",8304 Garland Ave,Takoma Park,20912,154050,-77.00061569,38.99335579,4/5/2019,,1,1,6,6,2.16,1.76,0,0.33,0,troubled,"(38.9934, -77.0006)"
17766,"Greenwood Avenue, 8500",8500 Greenwood Ave,Takoma Park,20912,139520,-77.00174516,38.99505537,3/23/2017,,1,0,5,5,2.2,2,0,0,0,troubled,"(38.9951, -77.0017)"
17632,The Point At Germantown,2 Observation Ct,Germantown,20876,154253,-77.24749447,39.19213983,4/17/2019,,2,1,218,50,1.54,1.52,19,0.02,0,at-risk,"(39.1921, -77.2475)"
17623,"Kennebec Avenue, 900",900 Kennebec Ave,Takoma Park,20912,138351,-76.99977829,38.99063751,2/6/2017,,1,0,3,3,1.66,2.26,1,0,0.66,troubled,"(38.9906, -76.9998)"
17500,"Greenwood Avenue, 8205",8205 Greenwood Ave,Takoma Park,20912,139482,-77.00047141,38.99200215,10/12/2017,,1,0,1,1,10,1.7,0,0,0,troubled,"(38.992, -77.0005)"
13612,2215 Spencerville Road,2215 Spencerville Rd,Spencerville,20868,156069,-76.96577038,39.11578007,6/13/2019,,1,1,2,3,6.33,1.88,0,0,0,troubled,"(39.1158, -76.9658)"
17410,Glen Mont,4900 Battery Ln,Bethesda,20814,146537,-77.099129,38.99187501,5/18/2018,,2,1,50,11,1.9,1.77,1,0,0,at-risk,"(38.9919, -77.0991)"
17286,"Kennebec Avenue, 903",903 Kennebec Ave,Takoma Park,20912,139608,-76.99942652,38.99024486,4/17/2017,,2,1,1,1,4,1.33,0,0,0,at-risk,"(38.9902, -76.9994)"
17997,"Garland Avenue, 8003",8003 Garland Ave,Takoma Park,20912,154048,-76.99852933,38.98980833,4/5/2019,,2,1,1,2,0.5,3,0,0,0,at-risk,"(38.9898, -76.9985)"
50866,Elms At Germantown,20426 Apple Harvest Cir,Germantown,20876,149968,-77.24338276,39.19161243,10/3/2018,,2,1,316,76,0.6,1.55,21,0,0,at-risk,"(39.1916, -77.2434)"
17361,Amherst Gardens,11430 Amherst Ave,Silver Spring,20902,152881,-77.04807276,39.04193808,4/2/2019,,1,1,22,22,7.04,1.93,0,0.13,0,troubled,"(39.0419, -77.0481)"
17285,"Greenwood Ave, 8515 & Browning Ave, 400",8515 Greenwood Ave,Takoma Park,20912,139469,-77.00145316,38.99617836,9/28/2017,,2,0,24,29,2.03,1.2,7,0.13,0,at-risk,"(38.9962, -77.0015)"
113035,Oak Mill Apartments,20010 Frederick Rd,Germantown,20876,157508,0,0,6/29/2019,,3,1,400,373,1.13,1.35,121,0.02,0.03,compliant,"(0.0, 0.0)"
17397,Middlebrooke,5015 Battery Ln,Bethesda,20814,146531,-77.10337129,38.99131122,5/4/2018,,2,1,84,33,0.93,1.8,8,0,0,at-risk,"(38.9913, -77.1034)"
17438,"Flower Avenue, 8011",8011 Flower Ave,Takoma Park,20912,139543,-77.00082677,38.9897424,3/21/2017,,1,0,4,4,5.25,1.9,0,0,0,troubled,"(38.9897, -77.0008)"
96541,Central,8455 Fenton St,Silver Spring,20910,,-77.02401718,38.99505015,,,3,0,243,,,,,,,compliant,"(38.9951, -77.024)"
18215,"Kennebec Avenue, 807",807 Kennebec Ave,Takoma Park,20912,138369,-77.00005626,38.99019822,1/18/2017,,2,0,5,5,0.6,1.8,2,0,0,at-risk,"(38.9902, -77.0001)"
17557,Chadswood,1 Cross Laurel Ct,Germantown,20876,147586,-77.22899764,39.18967097,6/12/2018,,2,1,11,11,2.45,1.22,4,0.09,0.09,at-risk,"(39.1897, -77.229)"
108674,"8809 PLYMOUTH STREET, LLC",8809 PLYMOUTH ST,SILVER SPRING,20901,146671,-77.00671033,39.00113415,4/23/2018,,3,1,6,6,0.5,0.77,4,0,0.16,compliant,"(39.0011, -77.0067)"
17699,"Quebec Terrace, 1031",1031 Quebec Ter,Silver Spring,20903,139447,-76.98688207,39.00031264,5/4/2017,,1,0,4,4,3.75,1.8,0,0,0.25,troubled,"(39.0003, -76.9869)"
17589,Seneca Club Apartment,18065 Cottage Garden Dr,Germantown,20874,146575,-77.27728608,39.15318242,5/3/2018,,3,1,378,80,1.62,1.22,14,0,0.02,compliant,"(39.1532, -77.2773)"
96607,910 KENNEBEC AVE,910 Kennebec Ave,Takoma Park,20912,139609,-76.99942298,38.99061006,3/28/2017,,1,0,3,3,4,2.08,0,0,0,troubled,"(38.9906, -76.9994)"
17329,"Glenville Road, 8813",8813 Glenville Rd,Silver Spring,20901,154038,-76.99636512,39.00025019,4/10/2019,,3,1,8,5,1.6,0.9,2,0,0,compliant,"(39.0003, -76.9964)"
105579,Kensington Park Senior Living,3620 LITTLEDALE RD,KENSINGTON,20895,,-77.07448209,39.01784015,,,3,0,61,,,,,,,compliant,"(39.0178, -77.0745)"
17511,"Olney-Sandy Spring Road, 903 & 907",903 OLNEY SANDY SPRING RD,Laurel,20707,148734,-77.02680599,39.14964061,7/23/2018,,1,0,4,4,5,2,0,0,0.25,troubled,"(39.1496, -77.0268)"
17608,"Glenville Road, 8800",8800 Glenville Rd,Silver Spring,20901,151849,-76.99732224,38.99963788,11/29/2018,,3,1,7,4,0.75,0.75,1,0,0,compliant,"(38.9996, -76.9973)"
17520,"Bradford Road, 8712",8712 Bradford Rd,Silver Spring,20901,139632,-77.00686149,38.99958831,6/20/2017,,2,0,6,6,0.66,2.33,2,0,0.16,at-risk,"(38.9996, -77.0069)"
17999,"Piney Branch Road, 8202-8208",8202 Piney Branch Rd,Silver Spring,20910,141061,-77.00951249,38.99295789,6/20/2017,,2,0,2,2,4,1.06,1,0,0,at-risk,"(38.993, -77.0095)"
17571,Knights Bridge I I,13516 Greencastle Ridge Ter,Burtonsville,20866,154259,-76.93022931,39.07880368,5/13/2019,,3,1,207,58,1.5,1.17,21,0,0,compliant,"(39.0788, -76.9302)"
50463,"Prospect Street, 907",907 Prospect St,Takoma Park,20912,138945,-76.99897269,38.98915484,2/9/2017,,2,0,2,2,1.5,2,0,0,0,at-risk,"(38.9892, -76.999)"
17170,Camp Hill Square,17825 Washington Grove Ln,Gaithersburg,20877,148732,-77.16808843,39.14843026,8/20/2018,,2,1,51,14,2.21,1.47,3,0.07,0.07,at-risk,"(39.1484, -77.1681)"
17773,"Glenville Road, 8817",8817 Glenville Rd,Silver Spring,20901,154236,-76.99634752,39.00048079,4/23/2019,,2,1,3,3,1.33,2,0,0,0,at-risk,"(39.0005, -76.9963)"
90366,UNIVERSITY GARDENS II,440 University Blvd E,Silver Spring,20901,154467,-76.99808373,39.00757311,5/3/2019,,3,1,27,7,0,0,7,0,0,compliant,"(39.0076, -76.9981)"
17579,Canterbury,20019 Sweetgum Cir,Germantown,20874,149264,-77.27438804,39.18475103,8/23/2018,,2,1,544,136,1.38,1.53,38,0.02,0.06,at-risk,"(39.1848, -77.2744)"
92816,"Garland Avenue, 8104",8104 Garland Ave,Takoma Park,20912,146195,-76.99959886,38.9908956,3/7/2018,,3,1,1,1,0,0,1,0,0,compliant,"(38.9909, -76.9996)"
17181,Parkside Terrace,500 Easley St,Silver Spring,20910,141005,-77.01704848,38.99522825,5/31/2017,,1,0,86,24,2.54,1.7,0,0,0,troubled,"(38.9952, -77.017)"
17311,"Plymouth Street, 8802",8802 Plymouth St,Silver Spring,20901,146617,-77.0075724,39.00077443,4/23/2018,,1,0,6,6,1.16,2.14,0,0,0.16,at-risk,"(39.0008, -77.0076)"
95488,1019-1025 Quebec Terrace,1019 Quebec Ter,Silver Spring,20903,139443,-76.9878392,39.00016724,3/28/2017,,1,0,16,4,5.5,1.66,0,0,0.25,troubled,"(39.0002, -76.9878)"
101933,The Brody,4901 MONTGOMERY LN,BETHESDA,20814,,-77.09768917,38.98356498,,,3,0,112,,,,,,,compliant,"(38.9836, -77.0977)"
17988,Inverness Townhomes,7801 Coddle Harbor Ln,Potomac,20854,127772,-77.15922707,39.04285661,6/8/2015,,1,0,1,1,21,1.9,0,0,0,troubled,"(39.0429, -77.1592)"
17335,"Glenville Road, 8811",8811 Glenville Rd,Silver Spring,20901,154037,-76.99643901,39.00007171,5/6/2019,,1,1,7,8,4.75,1.86,0,0.12,0.12,troubled,"(39.0001, -76.9964)"
17518,Kennebec House,808 Kennebec Ave,Takoma Park,20912,139610,-77.00026737,38.99050024,3/21/2017,,1,0,5,3,2.66,1.62,0,0,0,troubled,"(38.9905, -77.0003)"
17554,"Wisconsin Avenue, 7347",7347 Wisconsin Ave,Bethesda,20814,146178,-77.09329144,38.98333792,3/9/2018,,1,0,5,5,3,1.33,0,0,0.2,troubled,"(38.9833, -77.0933)"
17369,"Schrider Street, 8115",8115 Schrider St,Silver Spring,20910,141065,-77.01409088,38.9918091,5/26/2017,,2,0,9,9,2.11,1.22,2,0.11,0,at-risk,"(38.9918, -77.0141)"
17346,"Avondale Street, 4522-24",4522 Avondale St,Bethesda,20814,146627,-77.09321037,38.98590247,3/30/2018,,2,1,7,7,2.42,1.47,0,0,0,at-risk,"(38.9859, -77.0932)"
79586,Woodward Crossing,8380 Broderick Cir,Gaithersburg,20877,148736,-77.16999279,39.14710462,7/30/2018,,2,1,32,8,1.5,1.7,2,0,0,at-risk,"(39.1471, -77.17)"
17295,Silver Spring House Apartments,555 Thayer Ave,Silver Spring,20910,141072,-77.01663517,38.99424419,6/2/2017,,2,0,80,23,2.17,1.16,2,0,0,at-risk,"(38.9942, -77.0166)"
18013,Kensington House,10225 Frederick Ave,Kensington,20895,147579,-77.0694874,39.02467999,6/27/2018,,2,1,138,134,2.32,1.35,36,0.08,0.11,at-risk,"(39.0247, -77.0695)"
95494,Dale Apartments,524 Thayer Ave,Silver Spring,20910,142401,-77.01416157,38.99334393,8/1/2017,,1,0,26,8,4,2.09,0,0.5,0,troubled,"(38.9933, -77.0142)"
17452,Holiday Park Townhouses,4115 Garrett Park Rd,Silver Spring,20906,140492,-77.08213885,39.04669766,6/13/2017,,2,1,20,10,3,1.14,1,0,0,at-risk,"(39.0467, -77.0821)"
105672,Not Available,302 PATTERSON CT,TAKOMA PARK,20912,138376,-76.99610192,38.98744146,4/19/2017,,1,0,5,8,3.25,1.76,0,0,0,troubled,"(38.9874, -76.9961)"
17741,"Avondale Street, 4516-4518",4516 Avondale St,Bethesda,20814,148706,-77.0930275,38.98592182,8/8/2018,,1,0,5,4,2.75,1.45,0,0,0,at-risk,"(38.9859, -77.093)"
108557,The Point at Germantown Station,19200 CIRCLE GATE DR,GERMANTOWN,20874,146574,0,0,6/6/2018,,3,1,468,121,1.53,1.4,35,0.01,0.06,compliant,"(0.0, 0.0)"
57536,Covenant Village,18889 Waring Station Rd,Germantown,20874,149969,-77.24622213,39.16605402,8/22/2018,,2,1,89,22,0.77,1.6,10,0,0,at-risk,"(39.1661, -77.2462)"
18018,"Flower Avenue, 8411",8411 Flower Ave,Takoma Park,20912,138929,-77.00207588,38.99482471,4/7/2017,,1,0,2,4,9.5,1.81,0,0,0,troubled,"(38.9948, -77.0021)"
17533,"Houston Avenue, 902",902 Houston Ave,Takoma Park,20912,139604,-77.00013013,38.9916644,3/23/2017,,1,0,3,3,7,1.76,0,0,0.33,troubled,"(38.9917, -77.0001)"
100160,Acclaim at Germantown,12912 Falling Water Cir,Germantown,20874,154248,0,0,4/8/2019,,2,1,143,39,1.87,1.85,11,0,0,at-risk,"(0.0, 0.0)"
90206,308 PATTERSON CT,308 Patterson Ct,Takoma Park,20912,152900,-76.99661905,38.9877627,2/19/2019,,2,1,7,7,2.14,1.31,1,0,0,at-risk,"(38.9878, -76.9966)"
17193,Fairfax Court,1 Fairfax Ct,Chevy Chase,20815,146168,-77.10277844,38.97545528,3/20/2018,,1,0,18,16,2.68,1.65,0,0.06,0,troubled,"(38.9755, -77.1028)"
17485,"Flower Avenue, 8001",8001 Flower Ave,Takoma Park,20912,151000,-77.00075991,38.9889736,12/3/2018,,3,1,1,1,2,1.5,0,0,0,compliant,"(38.989, -77.0008)"
88050,"Georgia Spring, LLC",923 Silver Spring Ave,Silver Spring,20910,146203,-77.02597694,38.99167188,3/16/2018,,2,1,3,3,1.33,2,1,0,0,at-risk,"(38.9917, -77.026)"
18000,"Main Street, 9863",9863 Main St,Damascus,20872,146576,-77.2033628,39.28821721,4/23/2018,,2,1,4,4,1.25,1.6,0,0,0,at-risk,"(39.2882, -77.2034)"
51600,"Rosewood Residences 2, Brookside View II",8206 Streamside Pl,Gaithersburg,20879,154497,0,0,5/20/2019,,1,1,48,11,2.09,2.13,1,0,0,troubled,"(0.0, 0.0)"
17446,"Greenwood Avenue, 8507",8507 Greenwood Ave,Takoma Park,20912,139523,-77.0013687,38.99551115,3/7/2017,,2,0,4,4,3.25,1.3,0,0,0,at-risk,"(38.9955, -77.0014)"
17304,"Plyers Mill Road, 4107",4107 Plyers Mill Rd,Kensington,20895,150064,-77.08063917,39.0314245,9/20/2018,,3,1,12,12,1.5,1.37,3,0,0.08,compliant,"(39.0314, -77.0806)"
17289,Strathmore Apartments,7025 Strathmore St,Chevy Chase,20815,146175,-77.09280431,38.97935703,3/19/2018,,2,1,28,8,0.87,1.62,1,0,0,at-risk,"(38.9794, -77.0928)"
17436,"Domer Avenue, 311",311 Domer Ave,Takoma Park,20912,139540,-77.0023715,38.99645288,4/4/2017,,1,0,8,8,1.5,1.2,4,0.12,0.25,troubled,"(38.9965, -77.0024)"
17175,"Avondale Street, 4526",4526 Avondale St,Bethesda,20814,146621,-77.09341442,38.98588311,4/24/2018,,1,0,4,4,3,1.83,0,0,0.5,troubled,"(38.9859, -77.0934)"
90162,"Quebec Flats, LLC",1011 Quebec Ter,Silver Spring,20903,139440,-76.98878576,39.00002178,4/12/2017,,1,0,8,4,6,1.78,0,0.25,0.25,troubled,"(39.0, -76.9888)"
17331,"Flower Avenue, 8205",8205 Flower Ave,Takoma Park,20912,139546,-77.00172041,38.99159578,4/13/2017,,1,0,2,2,4,1.85,0,0,0,troubled,"(38.9916, -77.0017)"
17159,Sligo Park Hills,108 Schuyler Rd,Silver Spring,20901,150067,-77.01233358,39.00250382,9/18/2018,,1,1,26,7,3.14,1.55,1,0,0,troubled,"(39.0025, -77.0123)"
17322,"Maplewood Avenue, 806",806 Maplewood Ave,Takoma Park,20912,138944,-77.00007036,38.98862217,2/24/2017,,1,0,4,3,2.33,1.71,0,0,0,troubled,"(38.9886, -77.0001)"
95642,"Plymouth Street, 8710",8710 Plymouth St,Silver Spring,20901,154263,-77.00782913,38.99997812,4/1/2019,,2,1,6,6,3,1,2,0,0,at-risk,"(39.0, -77.0078)"
17180,Corona Apartments,714 Sligo Ave,Silver Spring,20910,140995,-77.01767567,38.99012275,6/7/2017,,2,0,43,11,3,1.41,3,0.18,0.09,at-risk,"(38.9901, -77.0177)"
18002,Hampton Point,3340 Hampton Point Dr,Silver Spring,20904,138294,-76.94088443,39.07751845,2/16/2017,,1,0,352,80,2.18,1.91,5,0,0,troubled,"(39.0775, -76.9409)"
112859,4715 Cordell Avenue,4715 Cordell Ave,Bethesda,20814,153784,0,0,3/10/2019,,2,1,32,2,2.5,1.2,0,0,0,at-risk,"(0.0, 0.0)"
17342,"Garland Avenue, 7907",7907 Garland Ave,Takoma Park,20912,151017,-76.9980263,38.98903676,11/8/2018,,1,0,3,4,5,2.25,0,0,0.5,troubled,"(38.989, -76.998)"
17985,"Garland Avenue, 8311",8311 Garland Ave,Takoma Park,20912,154052,-77.00010199,38.99386645,5/1/2019,,2,1,6,7,2.14,1.47,2,0.14,0,at-risk,"(38.9939, -77.0001)"
18210,"Georgia Avenue, 22310",22310 Georgia Ave,Brookeville,20833,154041,-77.06012949,39.22257312,3/18/2019,,3,1,2,2,0,0,6,0,0,compliant,"(39.2226, -77.0601)"
17527,Montgomery Club V,204 Water St,Gaithersburg,20877,150077,-77.20476446,39.13628373,4/1/2019,,2,1,47,7,0.85,2.14,2,0,0,at-risk,"(39.1363, -77.2048)"
17806,"Thayer Avenue, 808",808 Thayer Ave,Silver Spring,20910,138950,-77.02282367,38.99272203,4/4/2017,,1,0,2,2,3.5,1.85,0,0,0,troubled,"(38.9927, -77.0228)"
17756,"Glenville Road, 8815",8815 Glenville Rd,Silver Spring,20901,154039,-76.99634753,39.00039022,4/17/2019,,1,1,4,4,4,1.56,0,0,0,troubled,"(39.0004, -76.9963)"
112943,Auden Apartments,12631 Georgia Ave,Silver Spring,20906,144860,-77.05396811,39.06359057,1/10/2018,,1,0,165,34,2.47,1.58,3,0.05,0,troubled,"(39.0636, -77.054)"
17339,"Bradford Road, 8802",8802 Bradford Rd,Silver Spring,20901,139637,-77.00655897,39.00055208,4/12/2017,,2,0,6,6,1.83,1.81,1,0,0.16,at-risk,"(39.0006, -77.0066)"
100298,Walker House,18700 Walkers Choice Rd,Montgomery Village,20886,154257,-77.20552829,39.16302992,5/15/2019,,3,1,212,56,1.67,1.02,22,0.03,0,compliant,"(39.163, -77.2055)"
27164,"Flower Avenue, 8201",8201 Flower Ave,Takoma Park,20912,139545,-77.00163597,38.99132944,4/4/2017,,1,0,4,3,0.33,0,3,0,0.33,troubled,"(38.9913, -77.0016)"
17433,"Flower Avenue, 8619",8619 Flower Ave,Takoma Park,20912,138939,-77.00299785,38.99730404,3/29/2017,,1,0,5,5,4.2,1.61,0,0,0,troubled,"(38.9973, -77.003)"
112805,"Plymouth Street, 8801",8801 Plymouth Street,Silver Spring,20910,154303,0,0,4/12/2019,,2,1,6,6,1.5,1.66,0,0,0,at-risk,"(0.0, 0.0)"
17549,Montgomery Club V I,17101 Queen Victoria Ct,Gaithersburg,20877,154043,-77.20500944,39.13657798,4/1/2019,,1,1,109,17,2.23,2.42,1,0.11,0,troubled,"(39.1366, -77.205)"
17759,"Houston Avenue, 904",904 Houston Ave,Takoma Park,20912,139605,-76.99992256,38.99170833,6/14/2017,,2,0,1,1,1,5,0,0,0,at-risk,"(38.9917, -76.9999)"
18229,"Greenwood Avenue, 8405",8405 Greenwood Ave,Takoma Park,20912,139514,-77.00095699,38.99440736,4/6/2017,,1,0,3,1,1,5,0,0,1,troubled,"(38.9944, -77.001)"
17690,"Nolte Avenue, 8207",8207 Nolte Ave,Silver Spring,20910,141004,-77.01291603,38.99336056,6/1/2017,,2,0,7,7,4.42,1.4,0,0,0,at-risk,"(38.9934, -77.0129)"
17804,"Plymouth Street, 8715",8715 Plymouth St,Silver Spring,20901,141063,-77.00713246,39.00011,6/5/2017,,2,0,4,4,2.5,1.22,0,0,0,at-risk,"(39.0001, -77.0071)"
105435,AHC Bucknell LLC,11500 BUCKNELL DR,SILVER SPRING,20902,154227,-77.04674329,39.04355684,4/30/2019,,1,1,40,12,2.41,2.1,0,0.08,0,troubled,"(39.0436, -77.0467)"
17528,"Flower Avenue, 8601",8601 Flower Ave,Takoma Park,20912,139551,-77.00285001,38.99674941,3/22/2017,,2,0,4,5,1.8,1.66,0,0,0,at-risk,"(38.9967, -77.0029)"
17960,"Prospect Street, 915",915 Prospect St,Takoma Park,20912,139622,-76.99850211,38.98947176,3/21/2017,,2,0,3,3,3,1.33,0,0,0,at-risk,"(38.9895, -76.9985)"
105478,Randolph Village Apartments,531 RANDOLPH RD,SILVER SPRING,20904,144898,-77.02025539,39.06753688,11/22/2017,,3,1,129,31,0.12,0.28,26,0,0,compliant,"(39.0675, -77.0203)"
17656,"Glenview Avenue, 8512",8512 Glenview Ave,Takoma Park,20912,148714,-77.00039054,38.99633212,7/17/2018,,1,0,5,5,5.4,1.64,0,0.2,0,troubled,"(38.9963, -77.0004)"
